Combo Name,Pairing,Description,Cautions,Advice/Recommendations
Dreamer vs. Sprinkler,N-W-N x C-W-G,Neutral craver meets content giver—idle want vs. joyful offer.,Dreamer may lean on Sprinkler; Sprinkler may overwhelm.,Dreamer: Accept joy. Sprinkler: Tone it down.
Dreamer vs. Craver,N-W-N x C-W-N,Neutral craver meets content craver—idle want vs. calm longing.,Dreamer may resent Craver’s ease; Craver may detach.,Dreamer: Express want. Craver: Offer soft support.
Dreamer vs. Hunter,N-W-N x C-W-R,Neutral craver meets content seeker—idle want vs. joyful want.,Dreamer may envy Hunter; Hunter may overwhelm Dreamer.,Dreamer: Share wants. Hunter: Tone it down.
Dreamer vs. Flow,N-W-N x N-N-G,Neutral craver meets neutral giver—idle want vs. steady offer.,Dreamer may lean on Flow; Flow may feel used.,Dreamer: Reciprocate. Flow: Keep it light.
Dreamer vs. Echo,N-W-N x N-N-N,Neutral craver meets neutral flat—idle want vs. stasis.,Dreamer may stir Echo; Echo may dull Dreamer.,Dreamer: Lead gently. Echo: Respond minimally.
Dreamer vs. Sponge,N-W-N x N-N-R,Neutral craver meets neutral receiver—idle want vs. passivity.,Dreamer may exhaust Sponge; Sponge may shrink.,Dreamer: Ease demands. Sponge: Show interest.
Dreamer vs. Hand,N-W-N x N-O-G,Neutral craver meets neutral giver—idle want vs. reliable duty.,Dreamer may drain Hand; Hand may judge Dreamer.,Dreamer: Thank Hand. Hand: Offer steady help.
Dreamer vs. Glide,N-W-N x N-O-N,Neutral craver meets neutral drifter—idle want vs. duty-bound calm.,Dreamer may push Glide; Glide may withdraw.,Dreamer: Be patient. Glide: Meet halfway.
Dreamer vs. Fetcher,N-W-N x N-O-R,Neutral craver meets neutral duty-taker—idle want vs. calm receipt.,Dreamer may overload Fetcher; Fetcher may resist.,Dreamer: Ease demands. Fetcher: Share pace.
Dreamer vs. Sharer,N-W-N x N-W-G,Neutral craver meets neutral giver—idle want vs. gentle offer.,Dreamer may take too much; Sharer may tire.,Dreamer: Reciprocate. Sharer: Pace giving.
Paired Idle Dreamers,N-W-N x N-W-N,"Both neutral, wanting, neutral—dreaming without direction.",Risk of drifting apart; inertia.,Plan a small step toward a mutual dream.
Chaser vs. Beacon,N-W-R x C-N-G,Neutral seeker meets content giver—calm want vs. steady peace.,Chaser may exhaust Beacon; Beacon may tire.,Chaser: Accept calm. Beacon: Be patient.
Chaser vs. Drift,N-W-R x C-N-N,Neutral seeker meets content drifter—calm want vs. serene calm.,Chaser may stir Drift; Drift may ignore Chaser.,Chaser: Be gentle. Drift: Acknowledge need.
Chaser vs. Keeper,N-W-R x C-N-R,Neutral seeker meets content receiver—calm want vs. peaceful take.,Chaser may disrupt Keeper; Keeper may seem aloof.,Chaser: Calm demands. Keeper: Engage lightly.
Chaser vs. Toiler,N-W-R x C-O-G,Neutral seeker meets content giver—calm want vs. joyful duty.,Chaser may lean on Toiler; Toiler may overgive.,Chaser: Reciprocate. Toiler: Balance giving.
Chaser vs. Yoke,N-W-R x C-O-N,Neutral seeker meets content drifter—calm want vs. light duty.,Chaser may disrupt Yoke; Yoke may seem distant.,Chaser: Ease up. Yoke: Connect gently.
Chaser vs. Duty,N-W-R x C-O-R,Neutral seeker meets content duty-taker—calm want vs. glad receipt.,Chaser may envy Duty; Duty may push Chaser.,Chaser: Share wants. Duty: Offer light aid.
Chaser vs. Sprinkler,N-W-R x C-W-G,Neutral seeker meets content giver—calm want vs. joyful offer.,Chaser may lean on Sprinkler; Sprinkler may overwhelm.,Chaser: Accept joy. Sprinkler: Tone it down.
Chaser vs. Craver,N-W-R x C-W-N,Neutral seeker meets content craver—calm want vs. calm longing.,Chaser may resent Craver’s ease; Craver may detach.,Chaser: Express want. Craver: Offer soft support.
Chaser vs. Hunter,N-W-R x C-W-R,Neutral seeker meets content seeker—calm want vs. joyful want.,Chaser may envy Hunter; Hunter may overwhelm Chaser.,Chaser: Share wants. Hunter: Tone it down.
Chaser vs. Flow,N-W-R x N-N-G,Neutral seeker meets neutral giver—calm want vs. steady offer.,Chaser may lean on Flow; Flow may feel used.,Chaser: Reciprocate. Flow: Keep it light.
Chaser vs. Echo,N-W-R x N-N-N,Neutral seeker meets neutral flat—calm want vs. stasis.,Chaser may stir Echo; Echo may dull Chaser.,Chaser: Lead gently. Echo: Respond minimally.
Chaser vs. Sponge,N-W-R x N-N-R,Neutral seeker meets neutral receiver—calm want vs. passivity.,Chaser may exhaust Sponge; Sponge may shrink.,Chaser: Ease demands. Sponge: Show interest.
Chaser vs. Hand,N-W-R x N-O-G,Neutral seeker meets neutral giver—calm want vs. reliable duty.,Chaser may drain Hand; Hand may judge Chaser.,Chaser: Thank Hand. Hand: Offer steady help.
Chaser vs. Glide,N-W-R x N-O-N,Neutral seeker meets neutral drifter—calm want vs. duty-bound calm.,Chaser may push Glide; Glide may withdraw.,Chaser: Be patient. Glide: Meet halfway.
Chaser vs. Fetcher,N-W-R x N-O-R,Neutral seeker meets neutral duty-taker—calm want vs. calm receipt.,Chaser may overload Fetcher; Fetcher may resist.,Chaser: Ease demands. Fetcher: Share pace.
Chaser vs. Sharer,N-W-R x N-W-G,Neutral seeker meets neutral giver—calm want vs. gentle offer.,Chaser may take too much; Sharer may tire.,Chaser: Reciprocate. Sharer: Pace giving.
Chaser vs. Dreamer,N-W-R x N-W-N,Neutral seeker meets neutral craver—calm want vs. idle want.,Chaser may frustrate Dreamer; Dreamer may drift.,Chaser: Inspire action. Dreamer: Take a step.
Dual Calm Chasers,N-W-R x N-W-R,"Both neutral, wanting, receiving—calmly seeking more.",Passivity may stall progress; wants unmet.,Act on one shared want to reconnect.
Calm vs. Scar,N-W-R x P-O-R,Neutral seeker meets pained duty-taker—calm want vs. burdened receipt.,Chaser may seem detached; Scar may feel unsupported.,Chaser: Offer gentle aid. Scar: Share your burden.
Bleeder vs. Beacon,P-N-G x C-N-G,Pained giver meets content giver—quiet sacrifice vs. steady peace.,Bleeder may exhaust Beacon; Beacon may tire.,Bleeder: Accept calm. Beacon: Be patient.
Bleeder vs. Drift,P-N-G x C-N-N,Pained giver meets content drifter—quiet sacrifice vs. serene calm.,Bleeder may stir Drift; Drift may ignore Bleeder.,Bleeder: Be gentle. Drift: Acknowledge effort.
Bleeder vs. Keeper,P-N-G x C-N-R,Pained giver meets content receiver—quiet sacrifice vs. peaceful take.,Bleeder may disrupt Keeper; Keeper may seem aloof.,Bleeder: Calm giving. Keeper: Engage lightly.
Bleeder vs. Toiler,P-N-G x C-O-G,Pained giver meets content giver—quiet sacrifice vs. joyful duty.,Bleeder may lean on Toiler; Toiler may overgive.,Bleeder: Reciprocate. Toiler: Balance giving.
Bleeder vs. Yoke,P-N-G x C-O-N,Pained giver meets content drifter—quiet sacrifice vs. light duty.,Bleeder may disrupt Yoke; Yoke may seem distant.,Bleeder: Ease up. Yoke: Connect gently.
Bleeder vs. Duty,P-N-G x C-O-R,Pained giver meets content duty-taker—quiet sacrifice vs. glad receipt.,Bleeder may envy Duty; Duty may push Bleeder.,Bleeder: Share needs. Duty: Offer light aid.
Bleeder vs. Sprinkler,P-N-G x C-W-G,Pained giver meets content giver—quiet sacrifice vs. joyful offer.,Bleeder may lean on Sprinkler; Sprinkler may overwhelm.,Bleeder: Accept joy. Sprinkler: Tone it down.
Bleeder vs. Craver,P-N-G x C-W-N,Pained giver meets content craver—quiet sacrifice vs. calm longing.,Bleeder may resent Craver’s ease; Craver may detach.,Bleeder: Express needs. Craver: Offer soft support.
Bleeder vs. Hunter,P-N-G x C-W-R,Pained giver meets content seeker—quiet sacrifice vs. joyful want.,Bleeder may envy Hunter; Hunter may miss Bleeder’s effort.,Bleeder: Share strain. Hunter: Notice giving.
Bleeder vs. Flow,P-N-G x N-N-G,Pained giver meets neutral giver—quiet sacrifice vs. steady offer.,Bleeder may lean on Flow; Flow may tire.,Bleeder: Reciprocate. Flow: Keep it light.
Bleeder vs. Echo,P-N-G x N-N-N,Pained giver meets neutral flat—quiet sacrifice vs. stasis.,Bleeder may stir Echo; Echo may dull Bleeder.,Bleeder: Lead gently. Echo: Respond minimally.
Bleeder vs. Sponge,P-N-G x N-N-R,Pained giver meets neutral receiver—quiet sacrifice vs. passivity.,Bleeder may feel used; Sponge may shrink.,Bleeder: Limit giving. Sponge: Show appreciation.
Bleeder vs. Hand,P-N-G x N-O-G,Pained giver meets neutral giver—quiet sacrifice vs. reliable duty.,Bleeder may drain Hand; Hand may judge Bleeder.,Bleeder: Thank Hand. Hand: Offer steady help.
Bleeder vs. Glide,P-N-G x N-O-N,Pained giver meets neutral drifter—quiet sacrifice vs. duty-bound calm.,Bleeder may push Glide; Glide may withdraw.,Bleeder: Be patient. Glide: Meet halfway.
Bleeder vs. Fetcher,P-N-G x N-O-R,Pained giver meets neutral duty-taker—quiet sacrifice vs. calm receipt.,Bleeder may overload Fetcher; Fetcher may resist.,Bleeder: Ease giving. Fetcher: Share pace.
Bleeder vs. Sharer,P-N-G x N-W-G,Pained giver meets neutral giver—quiet sacrifice vs. gentle offer.,Both may overgive; balance may falter.,Bleeder: Pause giving. Sharer: Match effort.
Bleeder vs. Dreamer,P-N-G x N-W-N,Pained giver meets neutral craver—quiet sacrifice vs. idle want.,Bleeder may feel unseen; Dreamer may drift.,Bleeder: Request support. Dreamer: Act lightly.
Bleeder vs. Chaser,P-N-G x N-W-R,Pained giver meets neutral seeker—quiet sacrifice vs. calm want.,Bleeder may drain Chaser; Chaser may detach.,Bleeder: Ask for help. Chaser: Offer gentle aid.
Twin Quiet Bleeders,P-N-G x P-N-G,"Both pained, neutral, giving—silently pouring out.",Burnout risk; giving without recharge.,Set limits on giving; seek external support together.
Bleeder vs. Tasker,P-N-G x P-O-G,Pained giver meets pained giver—quiet sacrifice vs. strained duty.,Risk of mutual depletion; no receiving.,Bleeder: Set limits. Tasker: Rest together.
Bleeder vs. Drift,P-N-G x P-O-N,Pained giver meets pained drifter—quiet sacrifice vs. burdened calm.,Bleeder may push Drift; Drift may withdraw.,Bleeder: Be patient. Drift: Engage slightly.
Bleeder vs. Scar,P-N-G x P-O-R,Pained giver meets pained duty-taker—quiet sacrifice vs. burdened receipt.,Bleeder may overburden Scar; Scar may resent.,Bleeder: Ease giving. Scar: Share burden.
Sting vs. Beacon,P-N-N x C-N-G,Pained neutral meets content giver—apathy vs. steady peace.,Sting may exhaust Beacon; Beacon may tire.,Sting: Accept calm. Beacon: Be patient.
Sting vs. Drift,P-N-N x C-N-N,Pained neutral meets content drifter—apathy vs. serene calm.,Sting may stir Drift; Drift may ignore Sting.,Sting: Be gentle. Drift: Acknowledge need.
Sting vs. Keeper,P-N-N x C-N-R,Pained neutral meets content receiver—apathy vs. peaceful take.,Sting may disrupt Keeper; Keeper may seem aloof.,Sting: Engage lightly. Keeper: Respond a bit.
Sting vs. Toiler,P-N-N x C-O-G,Pained neutral meets content giver—apathy vs. joyful duty.,Sting may lean on Toiler; Toiler may overgive.,Sting: Reciprocate. Toiler: Balance giving.
Sting vs. Yoke,P-N-N x C-O-N,Pained neutral meets content drifter—apathy vs. light duty.,Sting may disrupt Yoke; Yoke may seem distant.,Sting: Ease up. Yoke: Connect gently.
Sting vs. Duty,P-N-N x C-O-R,Pained neutral meets content duty-taker—apathy vs. glad receipt.,Sting may envy Duty; Duty may push Sting.,Sting: Share needs. Duty: Offer light aid.
Sting vs. Sprinkler,P-N-N x C-W-G,Pained neutral meets content giver—apathy vs. joyful offer.,Sting may dull Sprinkler; Sprinkler may overwhelm.,Sting: Accept joy. Sprinkler: Tone it down.
Sting vs. Craver,P-N-N x C-W-N,Pained neutral meets content craver—apathy vs. calm longing.,Sting may resent Craver’s ease; Craver may detach.,Sting: Express pain. Craver: Offer soft support.
Sting vs. Hunter,P-N-N x C-W-R,Pained neutral meets content seeker—apathy vs. joyful want.,Sting may dim Hunter; Hunter may miss Sting’s pain.,Sting: Signal needs. Hunter: Listen first.
Sting vs. Flow,P-N-N x N-N-G,Pained neutral meets neutral giver—apathy vs. steady offer.,Sting may lean on Flow; Flow may feel used.,Sting: Reciprocate. Flow: Keep it light.
Sting vs. Echo,P-N-N x N-N-N,Pained neutral meets neutral flat—apathy vs. stasis.,Risk of total disconnection; no energy.,Sting: Stir lightly. Echo: Acknowledge minimally.
Sting vs. Sponge,P-N-N x N-N-R,Pained neutral meets neutral receiver—apathy vs. passivity.,Both may stagnate; no spark.,Sting: Suggest action. Sponge: Respond a bit.
Sting vs. Hand,P-N-N x N-O-G,Pained neutral meets neutral giver—apathy vs. reliable duty.,Sting may drain Hand; Hand may judge Sting.,Sting: Thank Hand. Hand: Offer steady help.
Sting vs. Glide,P-N-N x N-O-N,Pained neutral meets neutral drifter—apathy vs. duty-bound calm.,Sting may dull Glide; Glide may withdraw.,Sting: Respond lightly. Glide: Meet halfway.
Sting vs. Fetcher,P-N-N x N-O-R,Pained neutral meets neutral duty-taker—apathy vs. calm receipt.,Sting may burden Fetcher; Fetcher may resist.,Sting: Engage a bit. Fetcher: Share pace.
Sting vs. Sharer,P-N-N x N-W-G,Pained neutral meets neutral giver—apathy vs. gentle offer.,Sting may ignore Sharer; Sharer may tire.,Sting: Appreciate effort. Sharer: Pace giving.
Sting vs. Dreamer,P-N-N x N-W-N,Pained neutral meets neutral craver—apathy vs. idle want.,Sting may frustrate Dreamer; Dreamer may drift.,Sting: Acknowledge want. Dreamer: Act lightly.
Sting vs. Chaser,P-N-N x N-W-R,Pained neutral meets neutral seeker—apathy vs. calm want.,Sting may stall Chaser; Chaser may detach.,Sting: Respond slightly. Chaser: Be patient.
Sting vs. Bleeder,P-N-N x P-N-G,Pained neutral meets pained giver—apathy vs. quiet sacrifice.,Sting may ignore Bleeder; Bleeder may feel unseen.,Sting: Notice effort. Bleeder: Share strain.
Echoed Dull Stings,P-N-N x P-N-N,"Both pained, neutral, neutral—lingering in quiet discomfort.",Boredom or disconnection if no spark ignites.,Introduce a shared goal to lift the mood.
Sting vs. Tasker,P-N-N x P-O-G,Pained neutral meets pained giver—apathy vs. strained duty.,Sting may annoy Tasker; Tasker may resent Sting.,Sting: Offer minimal help. Tasker: Set limits.
Sting vs. Drift,P-N-N x P-O-N,Pained neutral meets pained drifter—apathy vs. burdened calm.,Sting may dull Drift; Drift may withdraw.,Sting: Engage a bit. Drift: Respond lightly.
Sting vs. Scar,P-N-N x P-O-R,Pained neutral meets pained duty-taker—apathy vs. burdened receipt.,Sting may frustrate Scar; Scar may feel alone.,Sting: Check in. Scar: Voice your load.
Wound vs. Beacon,P-N-R x C-N-G,Pained receiver meets content giver—passive hurt vs. steady peace.,Wound may exhaust Beacon; Beacon may tire.,Wound: Accept calm. Beacon: Be patient.
Wound vs. Drift,P-N-R x C-N-N,Pained receiver meets content drifter—passive hurt vs. serene calm.,Wound may stir Drift; Drift may ignore Wound.,Wound: Be gentle. Drift: Acknowledge need.
Wound vs. Keeper,P-N-R x C-N-R,Pained receiver meets content receiver—passive hurt vs. peaceful take.,Wound may disrupt Keeper; Keeper may seem aloof.,Wound: Calm demands. Keeper: Engage lightly.
Wound vs. Toiler,P-N-R x C-O-G,Pained receiver meets content giver—passive hurt vs. joyful duty.,Wound may lean on Toiler; Toiler may overgive.,Wound: Reciprocate. Toiler: Balance giving.
Wound vs. Yoke,P-N-R x C-O-N,Pained receiver meets content drifter—passive hurt vs. light duty.,Wound may disrupt Yoke; Yoke may seem distant.,Wound: Ease up. Yoke: Connect gently.
Wound vs. Duty,P-N-R x C-O-R,Pained receiver meets content duty-taker—passive hurt vs. glad receipt.,Wound may envy Duty; Duty may push Wound.,Wound: Share needs. Duty: Offer light aid.
Wound vs. Sprinkler,P-N-R x C-W-G,Pained receiver meets content giver—passive hurt vs. joyful offer.,Wound may lean on Sprinkler; Sprinkler may overwhelm.,Wound: Accept joy. Sprinkler: Tone it down.
Wound vs. Craver,P-N-R x C-W-N,Pained receiver meets content craver—passive hurt vs. calm longing.,Wound may resent Craver’s ease; Craver may detach.,Wound: Express pain. Craver: Offer soft support.
Wound vs. Hunter,P-N-R x C-W-R,Pained receiver meets content seeker—passive hurt vs. joyful want.,Wound may envy Hunter; Hunter may miss Wound’s pain.,Wound: Share needs. Hunter: Listen first.
Wound vs. Flow,P-N-R x N-N-G,Pained receiver meets neutral giver—passive hurt vs. steady offer.,Wound may lean on Flow; Flow may feel used.,Wound: Reciprocate. Flow: Keep it light.
Wound vs. Echo,P-N-R x N-N-N,Pained receiver meets neutral flat—passive hurt vs. stasis.,Wound may stir Echo; Echo may ignore.,Wound: Lead softly. Echo: Acknowledge minimally.
Wound vs. Sponge,P-N-R x N-N-R,Pained receiver meets neutral receiver—passive hurt vs. passivity.,Both may stagnate; no initiative.,Wound: Suggest action. Sponge: Respond a bit.
Wound vs. Hand,P-N-R x N-O-G,Pained receiver meets neutral giver—passive hurt vs. reliable duty.,Wound may drain Hand; Hand may judge Wound.,Wound: Thank Hand. Hand: Offer steady help.
Wound vs. Glide,P-N-R x N-O-N,Pained receiver meets neutral drifter—passive hurt vs. duty-bound calm.,Wound may push Glide; Glide may withdraw.,Wound: Be patient. Glide: Meet halfway.
Wound vs. Fetcher,P-N-R x N-O-R,Pained receiver meets neutral duty-taker—passive hurt vs. calm receipt.,Wound may burden Fetcher; Fetcher may resist.,Wound: Ease demands. Fetcher: Share pace.
Wound vs. Sharer,P-N-R x N-W-G,Pained receiver meets neutral giver—passive hurt vs. gentle offer.,Wound may take too much; Sharer may tire.,Wound: Give back. Sharer: Pace giving.
Wound vs. Dreamer,P-N-R x N-W-N,Pained receiver meets neutral craver—passive hurt vs. idle want.,Wound may frustrate Dreamer; Dreamer may drift.,Wound: Signal needs. Dreamer: Act lightly.
Wound vs. Chaser,P-N-R x N-W-R,Pained receiver meets neutral seeker—passive hurt vs. calm want.,Wound may overwhelm Chaser; Chaser may detach.,Wound: Ease demands. Chaser: Offer aid.
Wound vs. Bleeder,P-N-R x P-N-G,Pained receiver meets pained giver—passive hurt vs. quiet sacrifice.,Wound may take too much; Bleeder may tire.,Wound: Appreciate effort. Bleeder: Set limits.
Wound vs. Sting,P-N-R x P-N-N,Pained receiver meets pained neutral—passive hurt vs. apathy.,Wound may isolate; Sting may not notice.,Wound: Speak up. Sting: Check in.
Double Wound Takers,P-N-R x P-N-R,"Both pained, neutral, receiving—quietly absorbing hurt.",Passivity could deepen pain; lack of initiative.,Encourage mutual expression to avoid isolation.
Wound vs. Tasker,P-N-R x P-O-G,Pained receiver meets pained giver—passive hurt vs. strained duty.,Wound may drain Tasker; Tasker may feel used.,Wound: Reciprocate. Tasker: Set boundaries.
Wound vs. Drift,P-N-R x P-O-N,Pained receiver meets pained drifter—passive hurt vs. burdened calm.,Wound may burden Drift; Drift may withdraw.,Wound: Be gentle. Drift: Engage slightly.
Wound vs. Scar,P-N-R x P-O-R,Pained receiver meets pained duty-taker—passive hurt vs. burdened receipt.,Wound may lean on Scar; Scar may resent.,Wound: Offer support. Scar: Share burden.
Tasker vs. Beacon,P-O-G x C-N-G,Pained giver meets content giver—strained duty vs. steady peace.,Tasker may exhaust Beacon; Beacon may tire.,Tasker: Accept calm. Beacon: Be patient.
Tasker vs. Drift,P-O-G x C-N-N,Pained giver meets content drifter—strained duty vs. serene calm.,Tasker may stir Drift; Drift may ignore Tasker.,Tasker: Be gentle. Drift: Acknowledge effort.
Tasker vs. Keeper,P-O-G x C-N-R,Pained giver meets content receiver—strained duty vs. peaceful take.,Tasker may disrupt Keeper; Keeper may seem aloof.,Tasker: Calm giving. Keeper: Engage lightly.
Tasker vs. Toiler,P-O-G x C-O-G,Pained giver meets content giver—strained duty vs. joyful duty.,Tasker may lean on Toiler; Toiler may overgive.,Tasker: Reciprocate. Toiler: Balance giving.
Tasker vs. Yoke,P-O-G x C-O-N,Pained giver meets content drifter—strained duty vs. light duty.,Tasker may disrupt Yoke; Yoke may seem distant.,Tasker: Ease up. Yoke: Connect gently.
Tasker vs. Duty,P-O-G x C-O-R,Pained giver meets content duty-taker—strained duty vs. glad receipt.,Tasker may envy Duty; Duty may push Tasker.,Tasker: Share needs. Duty: Offer light aid.
Tasker vs. Sprinkler,P-O-G x C-W-G,Pained giver meets content giver—strained duty vs. joyful offer.,Tasker may lean on Sprinkler; Sprinkler may overwhelm.,Tasker: Accept joy. Sprinkler: Tone it down.
Tasker’s Craving,P-O-G x C-W-N,Pained giver meets content craver—strain vs. calm longing.,Tasker may resent Craver’s ease; Craver may miss Tasker’s burden.,Tasker: Share your load. Craver: Offer quiet support.
Tasker vs. Craver,P-O-G x C-W-N,Pained giver meets content craver—strained duty vs. calm longing.,Tasker may resent Craver’s ease; Craver may detach.,Tasker: Express needs. Craver: Offer soft support.
Tasker vs. Hunter,P-O-G x C-W-R,Pained giver meets content seeker—strained duty vs. joyful want.,Tasker may envy Hunter; Hunter may miss Tasker’s effort.,Tasker: Share strain. Hunter: Notice giving.
Tasker vs. Flow,P-O-G x N-N-G,Pained giver meets neutral giver—strained duty vs. steady offer.,Tasker may lean on Flow; Flow may tire.,Tasker: Reciprocate. Flow: Keep it light.
Tasker vs. Echo,P-O-G x N-N-N,Pained giver meets neutral flat—strained duty vs. stasis.,Tasker may stir Echo; Echo may dull Tasker.,Tasker: Lead gently. Echo: Respond minimally.
Burdened Absorber,P-O-G x N-N-R,Pained giver meets neutral receiver—duty vs. passivity.,Tasker may feel used; Sponge may shrink from intensity.,Tasker: Limit giving. Sponge: Show small appreciation.
Tasker vs. Sponge,P-O-G x N-N-R,Pained giver meets neutral receiver—strained duty vs. passivity.,Tasker may feel used; Sponge may shrink.,Tasker: Limit giving. Sponge: Show appreciation.
Tasker vs. Hand,P-O-G x N-O-G,Pained giver meets neutral giver—strained duty vs. reliable duty.,Tasker may drain Hand; Hand may judge Tasker.,Tasker: Thank Hand. Hand: Offer steady help.
Tasker vs. Glide,P-O-G x N-O-N,Pained giver meets neutral drifter—strained duty vs. duty-bound calm.,Tasker may push Glide; Glide may withdraw.,Tasker: Be patient. Glide: Meet halfway.
Tasker vs. Fetcher,P-O-G x N-O-R,Pained giver meets neutral duty-taker—strained duty vs. calm receipt.,Tasker may overload Fetcher; Fetcher may resist.,Tasker: Ease giving. Fetcher: Share pace.
Tasker vs. Sharer,P-O-G x N-W-G,Pained giver meets neutral giver—strained duty vs. gentle offer.,Both may overgive; balance may falter.,Tasker: Pause giving. Sharer: Match effort.
Tasker vs. Dreamer,P-O-G x N-W-N,Pained giver meets neutral craver—strained duty vs. idle want.,Tasker may feel unseen; Dreamer may drift.,Tasker: Request support. Dreamer: Act lightly.
Tasker vs. Chaser,P-O-G x N-W-R,Pained giver meets neutral seeker—strained duty vs. calm want.,Tasker may drain Chaser; Chaser may detach.,Tasker: Ask for help. Chaser: Offer gentle aid.
Twin Grim Taskers,P-O-G x P-O-G,"Both pained, obligated, giving—strained by duty given freely.",Mutual burnout; no one to receive.,Take breaks together; delegate some duties if possible.
Drift vs. Beacon,P-O-N x C-N-G,Pained drifter meets content giver—burdened calm vs. steady peace.,Drift may exhaust Beacon; Beacon may tire.,Drift: Accept calm. Beacon: Be patient.
Drift vs. Drift,P-O-N x C-N-N,Pained drifter meets content drifter—burdened calm vs. serene calm.,Drift (P) may stir Drift (C); Drift (C) may ignore.,Drift (P): Be gentle. Drift (C): Acknowledge need.
Drift vs. Keeper,P-O-N x C-N-R,Pained drifter meets content receiver—burdened calm vs. peaceful take.,Drift may disrupt Keeper; Keeper may seem aloof.,Drift: Engage lightly. Keeper: Respond a bit.
Drift vs. Toiler,P-O-N x C-O-G,Pained drifter meets content giver—burdened calm vs. joyful duty.,Drift may lean on Toiler; Toiler may overgive.,Drift: Reciprocate. Toiler: Balance giving.
Drift vs. Yoke,P-O-N x C-O-N,Pained drifter meets content drifter—burdened calm vs. light duty.,Drift (P) may disrupt Yoke; Yoke may seem distant.,Drift (P): Ease up. Yoke: Connect gently.
Drift vs. Duty,P-O-N x C-O-R,Pained drifter meets content duty-taker—burdened calm vs. glad receipt.,Drift may envy Duty; Duty may push Drift.,Drift: Share needs. Duty: Offer light aid.
Drift vs. Sprinkler,P-O-N x C-W-G,Pained drifter meets content giver—burdened calm vs. joyful offer.,Drift may lean on Sprinkler; Sprinkler may overwhelm.,Drift: Accept joy. Sprinkler: Tone it down.
Drift vs. Craver,P-O-N x C-W-N,Pained drifter meets content craver—burdened calm vs. calm longing.,Drift may resent Craver’s ease; Craver may detach.,Drift: Express pain. Craver: Offer soft support.
Drift vs. Hunter,P-O-N x C-W-R,Pained drifter meets content seeker—burdened calm vs. joyful want.,Drift may dim Hunter; Hunter may miss Drift’s burden.,Drift: Signal needs. Hunter: Listen first.
Drift vs. Flow,P-O-N x N-N-G,Pained drifter meets neutral giver—burdened calm vs. steady offer.,Drift may lean on Flow; Flow may feel used.,Drift: Reciprocate. Flow: Keep it light.
Drift vs. Echo,P-O-N x N-N-N,Pained drifter meets neutral flat—burdened calm vs. stasis.,Risk of total stagnation; no energy.,Drift: Stir lightly. Echo: Acknowledge minimally.
Drift vs. Sponge,P-O-N x N-N-R,Pained drifter meets neutral receiver—burdened calm vs. passivity.,Drift may burden Sponge; Sponge may shrink.,Drift: Suggest action. Sponge: Respond a bit.
Drift vs. Hand,P-O-N x N-O-G,Pained drifter meets neutral giver—burdened calm vs. reliable duty.,Drift may drain Hand; Hand may judge Drift.,Drift: Thank Hand. Hand: Offer steady help.
Drift vs. Glide,P-O-N x N-O-N,Pained drifter meets neutral drifter—burdened calm vs. duty-bound calm.,Both may drift apart; no spark.,Drift (P): Lead a bit. Glide: Meet halfway.
Drift vs. Fetcher,P-O-N x N-O-R,Pained drifter meets neutral duty-taker—burdened calm vs. calm receipt.,Drift may burden Fetcher; Fetcher may resist.,Drift: Engage slightly. Fetcher: Share pace.
Drift vs. Sharer,P-O-N x N-W-G,Pained drifter meets neutral giver—burdened calm vs. gentle offer.,Drift may lean on Sharer; Sharer may tire.,Drift: Reciprocate. Sharer: Pace giving.
Drift vs. Dreamer,P-O-N x N-W-N,Pained drifter meets neutral craver—burdened calm vs. idle want.,Drift may frustrate Dreamer; Dreamer may drift further.,Drift: Acknowledge want. Dreamer: Act lightly.
Drift vs. Chaser,P-O-N x N-W-R,Pained drifter meets neutral seeker—burdened calm vs. calm want.,Drift may stall Chaser; Chaser may detach.,Drift: Respond lightly. Chaser: Be patient.
Drift vs. Tasker,P-O-N x P-O-G,Pained drifter meets pained giver—burdened calm vs. strained duty.,Drift may burden Tasker; Tasker may resent Drift.,Drift: Engage slightly. Tasker: Set boundaries.
Double Burden Drifts,P-O-N x P-O-N,"Both pained, obligated, neutral—drifting under duty’s weight.",Apathy may grow; lack of momentum.,Set a joint purpose to re-engage.
Scar vs. Beacon,P-O-R x C-N-G,Pained duty-taker meets content giver—burdened receipt vs. steady peace.,Scar may exhaust Beacon; Beacon may tire.,Scar: Accept calm. Beacon: Be patient.
Scar vs. Drift,P-O-R x C-N-N,Pained duty-taker meets content drifter—burdened receipt vs. serene calm.,Scar may stir Drift; Drift may ignore Scar.,Scar: Be gentle. Drift: Acknowledge need.
Scar vs. Keeper,P-O-R x C-N-R,Pained duty-taker meets content receiver—burdened receipt vs. peaceful take.,Scar may disrupt Keeper; Keeper may seem aloof.,Scar: Calm demands. Keeper: Engage lightly.
Scar vs. Toiler,P-O-R x C-O-G,Pained duty-taker meets content giver—burdened receipt vs. joyful duty.,Scar may lean on Toiler; Toiler may overgive.,Scar: Reciprocate. Toiler: Balance giving.
Scar vs. Yoke,P-O-R x C-O-N,Pained duty-taker meets content drifter—burdened receipt vs. light duty.,Scar may disrupt Yoke; Yoke may seem distant.,Scar: Ease up. Yoke: Connect gently.
